well_position	broad_sample	solvent
M23	BRD-K72726508-001-02-1	DMSO
M24	BRD-K77060810-001-01-5	DMSO
N01		DMSO
N02	BRD-K22134346-001-21-5	DMSO
N03	BRD-K16761703-001-03-8	DMSO
N04	BRD-K61688984-001-06-9	DMSO
N05	BRD-K06674495-334-04-0	DMSO
N06		DMSO
N07		DMSO
N08	BRD-K41599323-001-03-1	DMSO
N09	BRD-A36217750-001-16-3	DMSO
N10	BRD-K78692225-001-24-5	DMSO
N11	BRD-K69122748-001-10-1	DMSO
N12	BRD-K16803204-001-02-9	DMSO
N13	BRD-A00827783-001-24-6	DMSO
N14	BRD-K27539181-001-09-9	DMSO
N15	BRD-A23124853-001-01-4	DMSO
N16	BRD-K33882852-003-04-9	DMSO
N17	BRD-K37385792-003-02-1	DMSO
N18	BRD-A89164055-001-04-9	DMSO
N19		DMSO
N20		DMSO
N21	BRD-K20897876-001-10-0	DMSO
N22	BRD-K50498985-001-03-3	DMSO
N23	BRD-K11796549-001-06-9	DMSO
N24	BRD-K01825589-310-02-9	DMSO
O01	BRD-K16472653-001-03-9	DMSO
O02	BRD-A72767275-003-01-6	DMSO
O03	BRD-A82396632-008-28-2	DMSO
O04	BRD-K91543828-001-02-0	DMSO
O05	BRD-A22713669-001-03-5	DMSO
O06	BRD-K56810756-003-07-7	DMSO
O07	BRD-A83029242-001-08-7	DMSO
O08	BRD-K99616396-316-05-3	DMSO
O09	BRD-K47557313-001-03-9	DMSO
O10	BRD-A64173453-015-03-1	DMSO
O11		DMSO
O12		DMSO
O13	BRD-K44432556-001-02-2	DMSO
O14	BRD-A84687895-001-03-2	DMSO
O15	BRD-K36927236-001-30-0	DMSO
O16	BRD-K19227686-001-18-6	DMSO
O17	BRD-K16542329-001-13-5	DMSO
O18	BRD-A86665761-001-01-1	DMSO
O19	BRD-K57708067-001-02-9	DMSO
O20	BRD-A48180038-003-24-3	DMSO
O21	BRD-K36574127-001-04-9	DMSO
O22	BRD-A01078468-001-14-8	DMSO
O23	BRD-K67915505-001-01-2	DMSO
O24	BRD-K14681867-001-01-6	DMSO
P01	BRD-K61845293-300-03-9	DMSO
P02	BRD-K01825660-322-01-9	DMSO
P03	BRD-K06426971-001-04-9	DMSO
P04	BRD-K48830578-001-01-9	DMSO
P05	BRD-K53061490-003-13-9	DMSO
P06	BRD-A10739734-003-09-8	DMSO
P07	BRD-K64034691-001-01-9	DMSO
P08	BRD-K20093108-001-02-3	DMSO
P09	BRD-A25569250-001-03-3	DMSO
P10	BRD-K12102668-001-25-5	DMSO
P11		DMSO
P12	BRD-A58048407-001-20-4	DMSO
P13	BRD-K70358946-001-14-0	DMSO
P14	BRD-K77087341-001-02-4	DMSO
P15	BRD-K18289362-001-03-9	DMSO
P16	BRD-K55567017-001-12-3	DMSO
P17	BRD-K31170746-001-03-9	DMSO
P18	BRD-A18992208-003-02-7	DMSO
P19	BRD-K80970344-201-10-9	DMSO
P20	BRD-A69636825-003-04-7	DMSO
P21	BRD-K87782578-001-03-9	DMSO
P22	BRD-K98763141-001-30-8	DMSO
P23	BRD-K19975102-001-02-0	DMSO
P24		DMSO
